File|Event|Error_Path|Error
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'RetailSession', 'UTCTimestamp']|'2022-03-04T21:53:43.585553Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete']|'PriorMFAType' is a required property
./Data/events.2022.03.30-13.48.39.json|Logout|['GAEvent', 'Logout', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Logout|['GAEvent', 'Logout', 'LogoutReason']|'WEB' is not one of ['SystemTimedOut', 'UserInitiated', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Logout|['GAEvent', 'Logout', 'RetailSession', 'UTCTimestamp']|'2022-02-14T21:33:18.391818Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ActivityAttempted']|'MFA' is not one of ['AccountMgt', 'ACH', 'BillPay', 'CheckImageView', 'Login', 'MFAOptionsChanged', 'PasswordChange', 'RemoteDepositCapture', 'SingleSignOn', 'Transfer', 'UserMgt', 'Wire', 'Other', 'Unknown']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Invalid MFA Attempts' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2022-03-03T16:56:17.752450Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|MFAMethodCreate|['GAEvent', 'MFAMethodCreate', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodCreate|['GAEvent', 'MFAMethodCreate', 'DeviceID']|None is not of type 'string'
